WELLNESS,SEAR,THICKNESS INCHES,TIME MINUTES
M. Well,High,0.5,2.6
M. Well,Low,0.5,2.6
M. Well,Medium,0.5,2.6
M. Well,High,1,3.1
M. Well,Low,1,3.1
M. Well,Medium,1,3.1
M. Well,High,1.5,3.6
M. Well,Low,1.5,3.6
M. Well,Medium,1.5,3.6
M. Well,High,2,4.1
M. Well,Low,2,4.1
M. Well,Medium,2,4.1
M. Well,High,2.5,4.4
M. Well,Low,2.5,4.4
M. Well,Medium,2.5,4.4
M. Well,High,3,4.6
M. Well,Low,3,4.6
M. Well,Medium,3,4.6
M. Rare,High,0.5,2.2
M. Rare,Low,0.5,2.2
M. Rare,Medium,0.5,2.2
M. Rare,High,1,2.7
M. Rare,Low,1,2.7
M. Rare,Medium,1,2.7
M. Rare,High,1.5,3.2
M. Rare,Low,1.5,3.2
M. Rare,Medium,1.5,3.2
M. Rare,High,2,3.7
M. Rare,Low,2,3.7
M. Rare,Medium,2,3.7
M. Rare,High,2.5,4
M. Rare,Low,2.5,4
M. Rare,Medium,2.5,4
M. Rare,High,3,4.2
M. Rare,Low,3,4.2
M. Rare,Medium,3,4.2
Medium,High,0.5,2.4
Medium,Low,0.5,2.4
Medium,Medium,0.5,2.4
Medium,High,1,2.9
Medium,Low,1,2.9
Medium,Medium,1,2.9
Medium,High,1.5,3.4
Medium,Low,1.5,3.4
Medium,Medium,1.5,3.4
Medium,High,2,3.9
Medium,Low,2,3.9
Medium,Medium,2,3.9
Medium,High,2.5,4.2
Medium,Low,2.5,4.2
Medium,Medium,2.5,4.2
Medium,High,3,4.4
Medium,Low,3,4.4
Medium,Medium,3,4.4
Rare,High,0.5,2
Rare,Low,0.5,2
Rare,Medium,0.5,2
Rare,High,1,2.5
Rare,Low,1,2.5
Rare,Medium,1,2.5
Rare,High,1.5,3
Rare,Low,1.5,3
Rare,Medium,1.5,3
Rare,High,2,3.5
Rare,Low,2,3.5
Rare,Medium,2,3.5
Rare,High,2.5,3.75
Rare,Low,2.5,3.75
Rare,Medium,2.5,3.75
Rare,High,3,4
Rare,Low,3,4
Rare,Medium,3,4
Welldone,High,0.5,2.8
Welldone,Low,0.5,2.8
Welldone,Medium,0.5,2.8
Welldone,High,1,3.3
Welldone,Low,1,3.3
Welldone,Medium,1,3.3
Welldone,High,1.5,3.8
Welldone,Low,1.5,3.8
Welldone,Medium,1.5,3.8
Welldone,High,2,4.3
Welldone,Low,2,4.3
Welldone,Medium,2,4.3
Welldone,High,2.5,4.6
Welldone,Low,2.5,4.6
Welldone,Medium,2.5,4.6
Welldone,High,3,4.8
Welldone,Low,3,4.8
Welldone,Medium,3,4.8